lai,Lmon,leaf_area_index,Leaf Area Index,9&,0&1&2&,time: mean area: mean where land,
gpp,Lmon,gross_primary_productivity_of_carbon,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
ra,Lmon,plant_respiration_carbon_flux,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
npp,Lmon,net_primary_productivity_of_carbon,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
rh,Lmon,heterotrophic_respiration_carbon_flux,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
fFire,Lmon,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,Carbon Mass Flux into Atmosphere due to CO2 Emission from Fire,1&2&3&,0&1&2&,time: mean area: mean where land,
fGrazing,Lmon,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_grazing,Carbon Mass Flux into Atmosphere due to Grazing on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
fHarvest,Lmon,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,Carbon Mass Flux into Atmosphere due to Crop Harvesting,1&2&3&,0&1&2&,time: mean area: mean where land,
fLuc,Lmon,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,Net Carbon Mass Flux into Atmosphere due to Land Use Change,1&2&3&,0&1&2&,time: mean area: mean where land,
nbp,Lmon,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
fVegLitter,Lmon,litter_carbon_flux,Total Carbon Mass Flux from Vegetation to Litter,1&2&3&,0&1&2&,time: mean area: mean where land,
fLitterSoil,Lmon,carbon_mass_flux_into_soil_from_litter,Total Carbon Mass Flux from Litter to Soil,1&2&3&,0&1&2&,time: mean area: mean where land,
fVegSoil,Lmon,carbon_mass_flux_into_soil_from_vegetation_excluding_litter,Total Carbon Mass Flux from Vegetation Directly to Soil,1&2&3&,0&1&2&,time: mean area: mean where land,
cLeaf,Lmon,leaf_carbon_content,Carbon Mass in Leaves,1&2&,0&1&2&,time: mean area: mean where land,
cWood,Lmon,wood_carbon_content,Carbon Mass in Wood,1&2&,0&1&2&,time: mean area: mean where land,
cRoot,Lmon,root_carbon_content,Carbon Mass in Roots,1&2&,0&1&2&,time: mean area: mean where land,
cMisc,Lmon,miscellaneous_living_matter_carbon_content,Carbon Mass in Other Living Compartments on Land,1&2&,0&1&2&,time: mean area: mean where land,
cCwd,Lmon,wood_debris_carbon_content,Carbon Mass in Coarse Woody Debris,1&2&,0&1&2&,time: mean area: mean where land,
cLitterAbove,Lmon,surface_litter_carbon_content,Carbon Mass in Above-Ground Litter,1&2&,0&1&2&,time: mean area: mean where land,
cLitterBelow,Lmon,subsurface_litter_carbon_content,Carbon Mass in Below-Ground Litter,1&2&,0&1&2&,time: mean area: mean where land,
cSoilFast,Lmon,fast_soil_pool_carbon_content,Carbon Mass in Fast Soil Pool,1&2&,0&1&2&,time: mean area: mean where land,
cSoilMedium,Lmon,medium_soil_pool_carbon_content,Carbon Mass in Medium Soil Pool,1&2&,0&1&2&,time: mean area: mean where land,
cSoilSlow,Lmon,slow_soil_pool_carbon_content,Carbon Mass in Slow Soil Pool,1&2&,0&1&2&,time: mean area: mean where land,
landCoverFrac,Lmon,area_fraction,Plant Functional Type Grid Fraction,7&,0&1&19&2&,time: mean,
treeFracPrimDec,Lmon,area_fraction,Total Primary Deciduous Tree Fraction,7&,0&1&2&20&,time: mean,
treeFracPrimEver,Lmon,area_fraction,Total Primary Evergreen Tree Cover Fraction,7&,0&1&2&21&,time: mean,
treeFracSecDec,Lmon,area_fraction,Total Secondary Deciduous Tree Cover Fraction,7&,0&1&2&22&,time: mean,
treeFracSecEver,Lmon,area_fraction,Total Secondary Evergreen Tree Cover Fraction,7&,0&1&2&23&,time: mean,
c3PftFrac,Lmon,area_fraction,Total C3 PFT Cover Fraction,7&,0&1&2&24&,time: mean,
c4PftFrac,Lmon,area_fraction,Total C4 PFT Cover Fraction,7&,0&1&2&25&,time: mean,
rGrowth,Lmon,surface_upward_carbon_mass_flux_due_to_plant_respiration_for_biomass_growth,Carbon Mass Flux into Atmosphere due to Growth Autotrophic Respiration on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
rMaint,Lmon,surface_upward_carbon_mass_flux_due_to_plant_respiration_for_biomass_maintenance,Carbon Mass Flux into Atmosphere due to Maintenance Autotrophic Respiration on Land,1&2&3&,0&1&2&,time: mean area: mean where land,
nppLeaf,Lmon,net_primary_productivity_of_carbon_accumulated_in_leaves,Carbon Mass Flux due to NPP Allocation to Leaf,1&2&3&,0&1&2&,time: mean area: mean where land,
nppWood,Lmon,net_primary_productivity_of_carbon_accumulated_in_wood,Carbon Mass Flux due to NPP Allocation to Wood,1&2&3&,0&1&2&,time: mean area: mean where land,
nppRoot,Lmon,net_primary_productivity_of_carbon_accumulated_in_roots,Carbon Mass Flux due to NPP Allocation to Roots,1&2&3&,0&1&2&,time: mean area: mean where land,
orog,cfMon,surface_altitude,Surface Altitude,5&,0&1&,,1.00E+04
ps,cfMon,surface_air_pressure,Surface Air Pressure,0&,0&1&2&,time: mean,
rlu,cfMon,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation,6&2&,0&1&26&2&,time: mean,
rsu,cfMon,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation,6&2&,0&1&26&2&,time: mean,
rld,cfMon,downwelling_longwave_flux_in_air,Downwelling Longwave Radiation,6&2&,0&1&26&2&,time: mean,
rsd,cfMon,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,6&2&,0&1&26&2&,time: mean,
rlucs,cfMon,upwelling_longwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Longwave Radiation,6&2&,0&1&26&2&,time: mean,
rsucs,cfMon,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,6&2&,0&1&26&2&,time: mean,
rldcs,cfMon,downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Longwave Radiation,6&2&,0&1&26&2&,time: mean,
rsdcs,cfMon,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation,6&2&,0&1&26&2&,time: mean,
ta,cfMon,air_temperature,Air Temperature,4&,0&1&15&2&,time: mean,336.3
tnt,cfMon,tendency_of_air_temperature,Tendency of Air Temperature,4&3&,0&1&15&2&,time: mean,
tntmp,cfMon,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Diabatic Processes,4&3&,0&1&15&2&,time: mean,
tntscpbl,cfMon,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,4&3&,0&1&15&2&,time: mean,
tntc,cfMon,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature due to Moist Convection,4&3&,0&1&15&2&,time: mean,
hur,cfMon,relative_humidity,Relative Humidity,7&,0&1&15&2&,time: mean,135.7
hus,cfMon,specific_humidity,Specific Humidity,9&,0&1&15&2&,time: mean,0.02841
tnhus,cfMon,tendency_of_specific_humidity,Tendency of Specific Humidity,3&,0&1&15&2&,time: mean,
tnhusa,cfMon,tendency_of_specific_humidity_due_to_advection,Tendency of Specific Humidity due to Advection,3&,0&1&15&2&,time: mean,
tnhusc,cfMon,tendency_of_specific_humidity_due_to_convection,Tendency of Specific Humidity due to Convection,3&,0&1&15&2&,time: mean,
tnhusd,cfMon,tendency_of_specific_humidity_due_to_diffusion,Tendency of Specific Humidity due to Diffusion,3&,0&1&15&2&,time: mean,
tnhusscpbl,cfMon,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Specific Humidity due to Stratiform Cloud Condensation and Evaporation,3&,0&1&15&2&,time: mean,
tnhusmp,cfMon,tendency_of_specific_humidity_due_to_model_physics,Tendency of Specific Humidity due to Model Physics,3&,0&1&15&2&,time: mean,
eviscu,cfMon,atmosphere_momentum_diffusivity,Eddy Viscosity Coefficients for Momentum,15&3&,0&1&15&2&,time: mean,
evisct,cfMon,atmosphere_heat_diffusivity,Eddy Diffusivity Coefficients for Temperature,15&3&,0&1&15&2&,time: mean,
clc,cfMon,convective_cloud_area_fraction_in_atmosphere_layer,Convective Cloud Area Fraction,7&,0&1&15&2&,time: mean,
clwc,cfMon,mass_fraction_of_convective_cloud_liquid_water_in_air,Mass Fraction of Convective Cloud Liquid Water,9&,0&1&15&2&,time: mean,
clic,cfMon,mass_fraction_of_convective_cloud_ice_in_air,Mass Fraction of Convective Cloud Ice,9&,0&1&15&2&,time: mean,
cls,cfMon,stratiform_cloud_area_fraction_in_atmosphere_layer,Stratiform Cloud Area Fraction,7&,0&1&15&2&,time: mean,
clws,cfMon,mass_fraction_of_stratiform_cloud_liquid_water_in_air,Mass Fraction of Stratiform Cloud Liquid Water,9&,0&1&15&2&,time: mean,
clis,cfMon,mass_fraction_of_stratiform_cloud_ice_in_air,Mass Fraction of Stratiform Cloud Ice,9&,0&1&15&2&,time: mean,
mcu,cfMon,atmosphere_updraft_convective_mass_flux,Updraft Convective Mass Flux,1&2&3&,0&1&26&2&,time: mean,
mcd,cfMon,atmosphere_downdraft_convective_mass_flux,Downdraft Convective Mass Flux,1&2&3&,0&1&26&2&,time: mean,
smc,cfMon,atmosphere_net_upward_shallow_convective_mass_flux,Shallow Convective Mass Flux,1&2&3&,0&1&26&2&,time: mean,
dmc,cfMon,atmosphere_net_upward_deep_convective_mass_flux,Deep Convective Mass Flux,1&2&3&,0&1&26&2&,time: mean,
tnsclw,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air,3&,0&1&15&2&,time: mean,
tnsclwcm,cfMon,tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_cloud_microphysics,Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Cloud Microphysics,3&,0&1&15&2&,time: mean,
