psl,A1,air_pressure_at_sea_level,Sea Level Pressure,0&,0&1&2&,time: mean,120000.
pr,A1,precipitation_flux,Precipitation,1&2&3&,0&1&2&,time: mean,1.e-3
tas,A1,air_temperature,Surface Air Temperature,4&,0&1&2&3&,time: mean,330.
mrsos,A1,moisture_content_of_soil_layer,Moisture in Upper 0.1 m of Soil Column,1&2&,0&1&2&4&,time: mean,
mrso,A1,soil_moisture_content,Total Soil Moisture Content,1&2&,0&1&2&,time: mean,
tauu,A1,surface_downward_eastward_stress,Zonal Surface Wind Stress,0&,0&1&2&,time: mean,
tauv,A1,surface_downward_northward_stress,Meridional Surface Wind Stress,0&,0&1&2&,time: mean,
snd,A1,surface_snow_thickness,Snow Depth,5&,0&1&2&,time: mean,
hfls,A1,surface_upward_latent_heat_flux,Surface Latent Heat Flux,6&2&,0&1&2&,time: mean,900.
hfss,A1,surface_upward_sensible_heat_flux,Surface Sensible Heat Flux,6&2&,0&1&2&,time: mean,
rlds,A1,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,6&2&,0&1&2&,time: mean,600.
rlus,A1,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,6&2&,0&1&2&,time: mean,750.
rsds,A1,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,6&2&,0&1&2&,time: mean,550.
rsus,A1,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,6&2&,0&1&2&,time: mean,
ts,A1,surface_temperature,Surface Skin Temperature,4&,0&1&2&,time: mean,340.
ps,A1,surface_air_pressure,Surface Pressure,0&,0&1&2&,time: mean,1.1e5
prsn,A1,snowfall_flux,Snowfall Flux,1&2&3&,0&1&2&,time: mean,
prc,A1,convective_precipitation_flux,Convective Precipitation,1&2&3&,0&1&2&,time: mean,
prw,A1,atmosphere_water_vapor_content,Precipitable Water,1&2&,0&1&2&,time: mean,150.
mrfso,A1,soil_frozen_water_content,Soil Frozen Water Content,1&2&,0&1&2&,time: mean,
mrros,A1,surface_runoff_flux,Surface Runoff,1&2&3&,0&1&2&,time: mean,
mrro,A1,runoff_flux,Surface and Subsurface Runoff,1&2&3&,0&1&2&,time: mean,
snw,A1,surface_snow_amount_where_land,Snow Amount,1&2&,0&1&2&,time: mean,
snc,A1,surface_snow_area_fraction_where_land,Snow Area Fraction,7&,0&1&2&,time: mean,100.
snm,A1,surface_snow_melt_flux_where_land,Snow Melt,1&2&3&,0&1&2&,time: mean,
uas,A1,eastward_wind,Zonal Surface Wind Speed,5&3&,0&1&2&5&,time: mean,
vas,A1,northward_wind,Meridional Surface Wind Speed,5&3&,0&1&2&5&,time: mean,
huss,A1,specific_humidity,Surface Specific Humidity,1&8&,0&1&2&3&,time: mean,
rsdt,A1,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,6&2&,0&1&2&,time: mean,
rsut,A1,toa_outgoing_shortwave_flux,TOA Reflected Shortwave Radiation,6&2&,0&1&2&,time: mean,
rlut,A1,toa_outgoing_longwave_flux,Outgoing Longwave Radiation,6&2&,0&1&2&,time: mean,500.
rtmt,A1,net_downward_radiative_flux_at_top_of_atmosphere_model,Net Flux at Top of Model,6&2&,0&1&2&,time: mean,
rsntp,A1,net_downward_shortwave_flux_in_air,Net Downward Shortwave Flux at 200 hPa,6&2&,0&1&2&6&,time: mean,
rlntp,A1,net_upward_longwave_flux_in_air,Net Upward Longwave Flux at 200 hPa,6&2&,0&1&2&6&,time: mean,
rsntpcs,A1,net_downward_shortwave_flux_in_air_assuming_clear_sky,Net Downward Clear-Sky Shortwave Flux at 200 hPa,6&2&,0&1&2&6&,time: mean,
rlntpcs,A1,net_upward_longwave_flux_in_air_assuming_clear_sky,Net Upward Clear-Sky Longwave Flux at 200 hPa,6&2&,0&1&2&6&,time: mean,
rsdscs,A1,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Incident Surface Clear-Sky Shortwave,6&2&,0&1&2&,time: mean,
rsuscs,A1,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Reflected Surface Clear-Sky Shortwave,6&2&,0&1&2&,time: mean,
rldscs,A1,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Downwelling Surface Clear-Sky Longwave,6&2&,0&1&2&,time: mean,
rlutcs,A1,toa_outgoing_longwave_flux_assuming_clear_sky,Outgoing Clear-Sky Longwave,6&2&,0&1&2&,time: mean,500.
rsutcs,A1,toa_outgoing_shortwave_flux_assuming_clear_sky,Reflected Clear-Sky Shortwave,6&2&,0&1&2&,time: mean,
clt,A1,cloud_area_fraction,Total Cloud Fraction,7&,0&1&2&,time: mean,100.0
clwvi,A1,atmosphere_cloud_condensed_water_content,Column Integerated Cloud Water Content,1&2&,0&1&2&,time: mean,
clivi,A1,atmosphere_cloud_ice_content,Column Integerated Cloud Ice Content,1&2&,0&1&2&,time: mean,
orog,A1,surface_altitude,Surface Altitude,5&,0&1&,,12000.
sftlf,A1,land_area_fraction,Land Area Fraction,7&,0&1&,,100.
sftgif,A1,land_ice_area_fraction,Fraction of Grid Cell Covered with Glacier,7&,0&1&,,100.
mrsofc,A1,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water,1&2&,0&1&,,
cl,A1,cloud_area_fraction_in_atmosphere_layer,Cloud Fraction,7&,0&1&7&2&,time: mean,100.0
ta,A1,air_temperature,Temperature,4&,0&1&8&2&,time: mean,350.
ua,A1,eastward_wind,Zonal Wind Component,5&3&,0&1&8&2&,time: mean,300.
va,A1,northward_wind,Meridional Wind Component,5&3&,0&1&8&2&,time: mean,100.
